Название,Жанр,Режиссер,Страна,Год
Любопытный Шанс,комедия,Рассел П. Марло,"США, Бельгия",2006
"Любой ценой (фильм, 2016)","драма, ,, современный вестерн",Дэвид Маккензи,США,2016
"Любой ценой (фильм, 2012)","драма, /, триллер",Рамин Бахрани,США,2012
"Любой ценой (фильм, 1959)","киноповесть, для детей, военный фильм",Анатолий Слесаренко,СССР,1959
Любой и каждый,документальный фильм,Сюзан Полис Шутс,США,2007
Любое лето закончится,"драма, ,, мелодрама",Кайл Вилямовский,США,2017
Любовью надо дорожить,мелодрама,Сергей Сплошнов,СССР,1959
Любовью за любовь (фильм),Музыкальная комедия,Татьяна Березанцева,СССР,1983
Любовь. Свадьба. Повтор,"романтическая комедия, ,, комедийный фильм, [, 1, ], и, романтический фильм, [, 1, ]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Дин Крейг, [вд]","Великобритания, [, 1, ]",2020
Любовь! Доблесть! Сострадание!,комедия-драма,Джо Мантелло,США,1997
Любовь: Инструкция по применению,"мелодрама, комедия",Джованни Веронези,Италия,2011
"Любовь, странная любовь",драма,Вальтер Уго Коури,Бразилия,1982
"Любовь, сводящая с ума",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, романтический триллер, [вд]","Раджат Мукхерджи, [вд], [, 1, ]",Индия,2001
"Любовь, свадьбы и прочие катастрофы",,Деннис Дуган,США,2020
"Любовь, сбивающая с ног",комедия,Пол Томас Андерсон,США,2002
"Любовь, пуля и ярость",вестерн,Монте Хеллман,"Италия, Испания",1978
"Любовь, предвестие печали…","драма, ,, мелодрама",Виктор Сергеев,Россия,1994
"Любовь, о которой молчат",драма,Кристиан Фор,Франция,
"Любовь, измена и воровство","Триллер, Драма",Уильям Каррен,США,1993
"Любовь, любовь, любовь","музыкальный фильм, и, романтический фильм",Баббар Субхаш,Индия,1989
Любовь-морковь: Восстание машин,"комедийный фильм, [, 2, ]",Андрей Волгин,Россия,2023
Любовь-морковь 3,"комедия, ,, фантастика",Сергей Гинзбург,Россия,2010
Любовь-морковь 2,"мелодрама, ,, комедия, ,, фантастика",Максим Пежемский,Россия,2008
Любовь-морковь,"комедия, фантастика",Александр Стриженов,Россия,2007
"Любовь Яровая (фильм, 1970)",драма,Владимир Фетин,СССР,1970
"Любовь Яровая (телеспектакль, 1977)","фильм-спектакль, драма",Виктор Турбин,СССР,1977
Любовь французская и русская,мелодрама,Александр Александров,Россия,1994
Любовь холоднее смерти,"драма, криминал",Райнер Вернер Фассбиндер,ФРГ,1969
